SAT,28.63333,-98.45
SAV,32.15,-81.1
SBA,34.5,-119.76667
SEA,47.43333,-122.3
SFO,37.61667,-122.36667
SGF,37.35,-93.33333
SHV,32.76667,-93.8
SIY,41.78333,-122.45
SLC,40.85,-111.96667
SLN,38.86667,-97.61667
SNP,57.15,-170.61667
SPI,39.83333,-89.66667
SPS,33.98333,-98.58333
SSM,46.4,-84.3
STL,38.85,-90.46667
SYR,43.15,-76.2
T01,28.5,-93.5
T06,28.5,-91.0
T07,28.5,-88.0
T11,9.5,138.08333
TCC,35.16667,-103.58333
TKA,62.31667,-150.1
TKK,7.46667,151.85
TLH,30.55,-84.36667
TNI,15.0,145.61667
TRI,36.46667,-82.4
TTK,5.35,162.96667
TUL,36.18333,-95.78333
TUS,32.11667,-110.81667
TVC,44.66667,-85.53333
TYS,35.9,-83.88333
UNK,63.88333,-160.8
WJF,34.73333,-118.21667
YAK,59.61667,-139.5
YKM,46.56667,-120.43333
ZUN,34.95,-109.15
