43200, 40, 1, [6a] Verify Bullseye #1
43500, 40, 2, [6b] Verify Bullseye #2
43800, 40, 3, [6c] Verify Bullseyes 2&3. Bullseye 1 gone
48000, 60, 4, [10] Verify only Bullseye 3 remaining
