7207, 100, 1, [4] Verify no graphics
7749, 10, 2, [5-6] Verify SIGMET, AIRMET and polygons
8342, 10, 3, [7-8] Verify NOTAM-D and points
9729, 20, 4, [9-11] NOTAM-FDC, NOTAM-TFR and associated shapes
