3600, -1, 1, [4] Verify CRLs are incomplete
3700, 1, 2, [6] Verify CRL status complete
3905, -1, 3, [5] Verify TMOA text and graphics available
4900, 20, 4, [7] Verify CRL and TMOAs removed
7200, -1, 5, [8-9] Verify text and graphics still available
